1 | epoch 1 | train/clean/loss 1.6034068049621581 | train/clean/top1 39.344 | train/clean/top5 90.038 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.66746259059906 | valid/clean/top1 38.37 | valid/clean/top5 90.47 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 38.37 | 
2 | epoch 2 | train/clean/loss 1.2936612607192992 | train/clean/top1 53.906 | train/clean/top5 94.412 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4193423515319825 | valid/clean/top1 49.62 | valid/clean/top5 91.8 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 49.62 | 
3 | epoch 3 | train/clean/loss 1.1744497198295594 | train/clean/top1 58.898 | train/clean/top5 95.37 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.335777120399475 | valid/clean/top1 52.77 | valid/clean/top5 93.97 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 52.77 | 
4 | epoch 4 | train/clean/loss 1.1155387786102295 | train/clean/top1 61.192 | train/clean/top5 95.744 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2127963249206544 | valid/clean/top1 56.48 | valid/clean/top5 94.09 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.48 | 
5 | epoch 5 | train/clean/loss 1.094021392326355 | train/clean/top1 62.29 | train/clean/top5 95.836 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4063973112106323 | valid/clean/top1 52.18 | valid/clean/top5 93.0 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.48 | 
6 | epoch 6 | train/clean/loss 1.0691942568778992 | train/clean/top1 63.014 | train/clean/top5 96.188 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.478719225502014 | valid/clean/top1 49.63 | valid/clean/top5 93.94 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.48 | 
7 | epoch 7 | train/clean/loss 1.0294629104995727 | train/clean/top1 64.758 | train/clean/top5 96.49 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.3488774673461914 | valid/clean/top1 52.31 | valid/clean/top5 94.14 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.48 | 
8 | epoch 8 | train/clean/loss 1.0299920567512513 | train/clean/top1 64.888 | train/clean/top5 96.352 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.3903506660461427 | valid/clean/top1 56.3 | valid/clean/top5 94.21 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.48 | 
9 | epoch 9 | train/clean/loss 1.0139463486862184 | train/clean/top1 65.724 | train/clean/top5 96.482 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1261418027877808 | valid/clean/top1 62.72 | valid/clean/top5 94.36 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 62.72 | 
10 | epoch 10 | train/clean/loss 1.004233896484375 | train/clean/top1 66.132 | train/clean/top5 96.644 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5240133434295655 | valid/clean/top1 47.77 | valid/clean/top5 92.87 | valid/adv/loss 2.662624331665039 | valid/adv/top1 16.18 | valid/adv/top5 62.23 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
11 | epoch 11 | train/clean/loss 0.9971169002914428 | train/clean/top1 66.356 | train/clean/top5 96.528 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.6343314916610718 | valid/clean/top1 45.8 | valid/clean/top5 89.51 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
