cnt: 1, current best arch: {'normal': [('dil_conv_3x3', 0), ('avg_pool_3x3', 1), ('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 2), ('dil_conv_5x5', 0), ('sep_conv_5x5', 1), ('avg_pool_3x3', 2), ('skip_connect', 3), ('sep_conv_3x3', 0), ('dil_conv_5x5', 1), ('conv_7x1_1x7', 2), ('sep_conv_3x3', 3), ('skip_connect', 4)], 'reduction': [('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 2), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1), ('dil_conv_3x3', 2), ('conv_7x1_1x7', 3), ('dil_conv_5x5', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('dil_conv_3x3', 3), ('sep_conv_7x7', 4)], 'normal_concat': [3, 5], 'reduction_concat': [2, 3]}, value: 115488924930.19304
cnt: 21, current best arch: {'normal': [('sep_conv_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 2), ('sep_conv_5x5', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('skip_connect', 3), ('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('avg_pool_3x3', 4)], 'reduction': [('conv_7x1_1x7', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('skip_connect', 1), ('sep_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_7x7', 2), ('avg_pool_3x3', 3), ('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('skip_connect', 2), ('sep_conv_5x5', 3), ('sep_conv_3x3', 4)], 'normal_concat': [3, 5, 2, 2], 'reduction_concat': [2, 2, 4, 2]}, value: 1551250022420.416
cnt: 41, current best arch: {'normal': [('sep_conv_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 2), ('sep_conv_5x5', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('skip_connect', 3), ('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('avg_pool_3x3', 4)], 'reduction': [('conv_7x1_1x7', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('skip_connect', 1), ('sep_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_7x7', 2), ('avg_pool_3x3', 3), ('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('skip_connect', 2), ('sep_conv_5x5', 3), ('sep_conv_3x3', 4)], 'normal_concat': [3, 5, 2, 2], 'reduction_concat': [2, 2, 4, 2]}, value: 1554980046323.2292
cnt: 61, current best arch: {'normal': [('sep_conv_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 2), ('sep_conv_5x5', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('skip_connect', 3), ('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('avg_pool_3x3', 4)], 'reduction': [('conv_7x1_1x7', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('skip_connect', 1), ('sep_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_7x7', 2), ('avg_pool_3x3', 3), ('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('skip_connect', 2), ('sep_conv_5x5', 3), ('sep_conv_3x3', 4)], 'normal_concat': [3, 5, 2, 2], 'reduction_concat': [2, 2, 4, 2]}, value: 1554980046323.2292
cnt: 81, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4314614232310.561
cnt: 101, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4323035340193.607
cnt: 121, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4323035340193.607
cnt: 141, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4389118537098.1123
cnt: 161, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4390648763636.9575
cnt: 181, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4390648763636.9575
cnt: 201, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4390648763636.9575
cnt: 221, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4390648763636.9575
